time,Δt,t,DATE,DOY,DOYP,TMAX,TMIN,TMN,PAR,SWFAC,EMP1,EMP2,Fc,sla,INTOT,LAI0,Lfmax,N0,nb,p1,PD,rm,tb,W0,Wc0,Wr0,PT,RUE,Pg,ROWSPC,Y1,P,VP,RP,FL,dN,N,di,INT,__Plant__a,dLAI1,dLAI2,dLAI,LAI,E,dW,W,Wc,Wr,Wf,endsim,SRAD,RAIN,IRR,CN,DP,DRNp,WPp,FCp,STp,SWC0,WP,FC,ST,S,POTINF,ROF,INF,THE,TRAIN,TIRR,TESa,TEPa,TROF,TDRN,TINF,DRN,αs,αc,ALB,Tmed,EEQ,f,ETp,ESp,EPp,__SoilWater__a,ESa,EPa,dSWC,dROF_extra,dSWC_ADJ,SWC_ADJ,SWC,ΔSWC,Fi,Fo,WATBAL,CHECK,SWFAC1,WTABLE,DWT,STRESS_DEPTH,SWFAC2
3360.0 hr,24.0 hr,140.0 d,1987-05-21,141 d,121 d,31.1 °C,20.6 °C,25.850000000000023 °C,7.0 MJ d⁻¹ m⁻²,0.929389880619877,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.9846859375,2.1 g MJ⁻¹,0.22497215470106946 g d⁻¹,60.0 cm,0.6855049101204336,true,true,false,1.0,0.09846859375 d⁻¹,3.9881478125000003,0.0 K,0.0 K,0.43188954772126487,0.014133832147031403 d⁻¹,0.0 d⁻¹,0.014133832147031403 d⁻¹,0.12737914070273648,1.0,1.1248607735053473 g d⁻¹ m⁻²,10.034557880424344 g m⁻²,8.319374198360693 g m⁻²,1.715183682063652 g m⁻²,0.0 g m⁻²,false,14.0 MJ d⁻¹ m⁻²,25.4 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,25.4 mm d⁻¹,0.0 mm d⁻¹,25.4 mm d⁻¹,206.62500000000003 mm,592.6 mm,0.0 mm,402.0956888015597 mm,5.979009323121407 mm,7.0546815623504235 mm,225.79235584381556 mm,585.5453184376496 mm,0.0 mm d⁻¹,0.1,0.2,0.10853057279908826,26.899999999999977 °C,3.447917565188883 mm d⁻¹,1.1,3.792709321707772 mm d⁻¹,3.4691694919616842 mm d⁻¹,0.3235398297460878 mm d⁻¹,0.6970424104649079,2.4181582649882922 mm d⁻¹,0.30069464374349186 mm d⁻¹,22.681147091268215 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,198.17826446915282 mm,48.32173553084718 mm,592.6 mm,640.9217355308471 mm,1.1368683772161603e-13 mm,585.5453184376496 mm,0.929389880619877,0.0 mm,1450.0 mm,250.0 mm,1.0
3384.0 hr,24.0 hr,141.0 d,1987-05-22,142 d,121 d,29.4 °C,21.1 °C,25.25 °C,10.35 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.9956109375000001,2.1 g MJ⁻¹,0.4001210640061045 g d⁻¹,60.0 cm,0.6855049101204336,true,true,false,1.0,0.09956109375000001 d⁻¹,4.08661640625,0.0 K,0.0 K,0.4599831134794966,0.01623965196236915 d⁻¹,0.0 d⁻¹,0.01623965196236915 d⁻¹,0.14151297284976788,1.0,2.0006053200305223 g d⁻¹ m⁻²,11.159418653929691 g m⁻²,9.275505855840239 g m⁻²,1.883912798089454 g m⁻²,0.0 g m⁻²,false,20.7 MJ d⁻¹ m⁻²,2.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,2.0 mm d⁻¹,0.0 mm d⁻¹,2.0 mm d⁻¹,206.62500000000003 mm,618.0 mm,0.0 mm,404.51384706654795 mm,6.279703966864899 mm,7.0546815623504235 mm,225.79235584381556 mm,610.9453184376496 mm,0.0 mm d⁻¹,0.1,0.2,0.10943108025759632,26.079999999999984 °C,5.0187229230166714 mm d⁻¹,1.1,5.520595215318339 mm d⁻¹,4.999943449864645 mm d⁻¹,0.520651765453694 mm d⁻¹,0.8392439596264641,4.196172338772808 mm d⁻¹,0.520651765453694 mm d⁻¹,-2.716824104226502 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,220.85941156042105 mm,25.64058843957895 mm,618.0 mm,643.6405884395788 mm,2.2737367544323206e-13 mm,610.9453184376496 mm,1.0,0.0 mm,1450.0 mm,250.0 mm,1.0
3408.0 hr,24.0 hr,142.0 d,1987-05-23,143 d,121 d,29.4 °C,18.9 °C,24.149999999999977 °C,10.75 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.9984984375,2.1 g MJ⁻¹,0.462084666332401 g d⁻¹,60.0 cm,0.6855049101204336,true,true,false,1.0,0.09984984375 d⁻¹,4.1861775,0.0 K,0.0 K,0.49024677117789317,0.01705511591089669 d⁻¹,0.0 d⁻¹,0.01705511591089669 d⁻¹,0.15775262481213703,1.0,2.3104233316620046 g d⁻¹ m⁻²,13.160023973960215 g m⁻²,10.976020377866183 g m⁻²,2.1840035960940325 g m⁻²,0.0 g m⁻²,false,21.5 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,620.0 mm,0.0 mm,408.71001940532074 mm,6.800355732318593 mm,7.0546815623504235 mm,225.79235584381556 mm,612.9453184376496 mm,0.0 mm d⁻¹,0.1,0.2,0.11045481585939274,25.19999999999999 °C,5.124188203455446 mm d⁻¹,1.1,5.63660702380099 mm d⁻¹,5.047310138745 mm d⁻¹,0.5892968850559904 mm d⁻¹,0.8222105796626616,4.149951794914756 mm d⁻¹,0.5892968850559904 mm d⁻¹,-4.739248679970746 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,218.14258745619455 mm,28.357412543805452 mm,620.0 mm,648.3574125438054 mm,1.1368683772161603e-13 mm,612.9453184376496 mm,1.0,0.0 mm,1450.0 mm,250.0 mm,1.0
3432.0 hr,24.0 hr,143.0 d,1987-05-24,144 d,121 d,29.4 °C,19.4 °C,24.399999999999977 °C,12.25 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.9979750000000001,2.1 g MJ⁻¹,0.5798491059466908 g d⁻¹,60.0 cm,0.6855049101204336,true,true,false,1.0,0.09979750000000001 d⁻¹,4.286027343750001,0.0 K,0.0 K,0.5225981321763918,0.017775639263891314 d⁻¹,0.0 d⁻¹,0.017775639263891314 d⁻¹,0.17480774072303373,1.0,2.899245529733454 g d⁻¹ m⁻²,15.47044730562222 g m⁻²,12.939880209778886 g m⁻²,2.5305670958433333 g m⁻²,0.0 g m⁻²,false,24.5 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,620.0 mm,0.0 mm,412.85997120023546 mm,7.389652617374583 mm,7.0546815623504235 mm,225.79235584381556 mm,612.9453184376496 mm,0.0 mm d⁻¹,0.1,0.2,0.11151750220018529,25.399999999999977 °C,5.854548597305379 mm d⁻¹,1.1,6.4400034570359175 mm d⁻¹,5.698275917179798 mm d⁻¹,0.7417275398561199 mm d⁻¹,0.7924974217945063,4.515868973038716 mm d⁻¹,0.7417275398561199 mm d⁻¹,-5.257596512894835 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,213.4033387762238 mm,33.09666122377621 mm,620.0 mm,653.096661223776 mm,2.2737367544323206e-13 mm,612.9453184376496 mm,1.0,0.0 mm,1450.0 mm,250.0 mm,1.0
3456.0 hr,24.0 hr,144.0 d,1987-05-25,145 d,121 d,29.4 °C,18.3 °C,23.850000000000023 °C,12.2 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.9990234375,2.1 g MJ⁻¹,0.6330855629875143 g d⁻¹,60.0 cm,0.6855049101204336,true,true,false,1.0,0.09990234375000001 d⁻¹,4.385824843750001,0.0 K,0.0 K,0.5570656959275352,0.01856753180330518 d⁻¹,0.0 d⁻¹,0.01856753180330518 d⁻¹,0.19258337998692504,1.0,3.1654278149375714 g d⁻¹ m⁻²,18.36969283535567 g m⁻²,15.404238910052321 g m⁻²,2.9654539253033514 g m⁻²,0.0 g m⁻²,false,24.4 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,620.0 mm,0.0 mm,417.3758401732742 mm,8.131380157230703 mm,7.0546815623504235 mm,225.79235584381556 mm,612.9453184376496 mm,0.0 mm d⁻¹,0.1,0.2,0.11261166385849299,24.95999999999998 °C,5.77719737158897 mm d⁻¹,1.1,6.354917108747868 mm d⁻¹,5.553456324506727 mm d⁻¹,0.8014607842411414 mm d⁻¹,0.7595344342528458,4.218041307582106 mm d⁻¹,0.8014607842411414 mm d⁻¹,-5.019502091823247 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,208.14574226332894 mm,38.35425773667106 mm,620.0 mm,658.3542577366709 mm,2.2737367544323206e-13 mm,612.9453184376496 mm,1.0,0.0 mm,1450.0 mm,250.0 mm,1.0
3480.0 hr,24.0 hr,145.0 d,1987-05-26,146 d,121 d,29.4 °C,17.2 °C,23.299999999999955 °C,12.65 MJ d⁻¹ m⁻²,0.9707522689363064,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.99969375,2.1 g MJ⁻¹,0.6948112160622948 g d⁻¹,60.0 cm,0.6855049101204336,true,true,false,1.0,0.09996937500000001 d⁻¹,4.485727187500001,0.0 K,0.0 K,0.5938463874800354,0.018796343292287514 d⁻¹,0.0 d⁻¹,0.018796343292287514 d⁻¹,0.2111509117902302,1.0,3.474056080311474 g d⁻¹ m⁻²,21.535120650293244 g m⁻²,18.094852552749256 g m⁻²,3.440268097543987 g m⁻²,0.0 g m⁻²,false,25.3 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,620.0 mm,0.0 mm,421.5938814808563 mm,8.932840941471845 mm,7.0546815623504235 mm,225.79235584381556 mm,612.9453184376496 mm,0.0 mm d⁻¹,0.1,0.2,0.11374012451490613,24.519999999999982 °C,5.934767403564517 mm d⁻¹,1.1,6.528244143920969 mm d⁻¹,5.631255269909161 mm d⁻¹,0.896988874011808 mm d⁻¹,0.7280642017022299,4.099915372667889 mm d⁻¹,0.8707539846575854 mm d⁻¹,-4.970669357325474 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,203.12624017150569 mm,43.373759828494315 mm,620.0 mm,663.3737598284941 mm,1.1368683772161603e-13 mm,612.9453184376496 mm,0.9707522689363064,0.0 mm,1450.0 mm,250.0 mm,1.0
3504.0 hr,24.0 hr,146.0 d,1987-05-27,147 d,121 d,28.9 °C,17.2 °C,23.049999999999955 °C,9.6 MJ d⁻¹ m⁻²,0.9292001739952366,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.9999984375,2.1 g MJ⁻¹,0.5463721390872094 g d⁻¹,60.0 cm,0.6855049101204336,true,true,false,1.0,0.09999984375 d⁻¹,4.585696562500001,0.0 K,0.0 K,0.6330827111817027,0.01873111116676738 d⁻¹,0.0 d⁻¹,0.01873111116676738 d⁻¹,0.22994725508251773,1.0,2.7318606954360467 g d⁻¹ m⁻²,25.009176730604718 g m⁻²,21.047800221014008 g m⁻²,3.9613765095907083 g m⁻²,0.0 g m⁻²,false,19.2 MJ d⁻¹ m⁻²,4.6 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,4.6 mm d⁻¹,0.0 mm d⁻¹,4.6 mm d⁻¹,206.62500000000003 mm,620.0 mm,0.0 mm,425.6937968535242 mm,9.80359492612943 mm,7.0546815623504235 mm,225.79235584381556 mm,612.9453184376496 mm,0.0 mm d⁻¹,0.1,0.2,0.11486764973815736,24.21999999999997 °C,4.47357446180519 mm d⁻¹,1.1,4.920931907985709 mm d⁻¹,4.189304988053171 mm d⁻¹,0.7316269199325383 mm d⁻¹,0.6969001304964275,2.9195271928635895 mm d⁻¹,0.6798278613009135 mm d⁻¹,1.0006449458354965 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,198.1555708141802 mm,48.34442918581979 mm,620.0 mm,668.3444291858196 mm,1.1368683772161603e-13 mm,612.9453184376496 mm,0.9292001739952366,0.0 mm,1450.0 mm,250.0 mm,1.0
3528.0 hr,24.0 hr,147.0 d,1987-05-28,148 d,121 d,29.4 °C,19.4 °C,24.399999999999977 °C,10.45 MJ d⁻¹ m⁻²,0.9375650220272992,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.9979750000000001,2.1 g MJ⁻¹,0.6436411545737738 g d⁻¹,60.0 cm,0.6855049101204336,true,true,false,1.0,0.09979750000000001 d⁻¹,4.685696406250001,0.0 K,0.0 K,0.6749245986856754,0.019566090612501277 d⁻¹,0.0 d⁻¹,0.019566090612501277 d⁻¹,0.2486783662492851,1.0,3.218205772868869 g d⁻¹ m⁻²,27.741037426040766 g m⁻²,23.369881812134647 g m⁻²,4.371155613906115 g m⁻²,0.0 g m⁻²,false,20.9 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,624.6 mm,0.0 mm,428.6133240463878 mm,10.483422787430342 mm,7.0546815623504235 mm,225.79235584381556 mm,617.5453184376496 mm,0.0 mm d⁻¹,0.1,0.2,0.11597660015665973,25.399999999999977 °C,4.972133299277311 mm d⁻¹,1.1,5.4693466292050426 mm d⁻¹,4.595530987075207 mm d⁻¹,0.8738156421298356 mm d⁻¹,0.7031737665204745,3.231456833343227 mm d⁻¹,0.8192589817612579 mm d⁻¹,-4.050715815104485 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,199.1562157600157 mm,47.3437842399843 mm,624.6 mm,671.9437842399841 mm,2.2737367544323206e-13 mm,617.5453184376496 mm,0.9375650220272992,0.0 mm,1450.0 mm,250.0 mm,1.0
3552.0 hr,24.0 hr,148.0 d,1987-05-29,149 d,121 d,29.4 °C,18.3 °C,23.850000000000023 °C,12.1 MJ d⁻¹ m⁻²,0.9037032388289336,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.9990234375,2.1 g MJ⁻¹,0.7706541701978056 g d⁻¹,60.0 cm,0.6855049101204336,true,true,false,1.0,0.09990234375000001 d⁻¹,4.785493906250001,0.0 K,0.0 K,0.7194387390932064,0.019624005124242363 d⁻¹,0.0 d⁻¹,0.019624005124242363 d⁻¹,0.2682444568617864,1.0,3.853270850989028 g d⁻¹ m⁻²,30.959243198909633 g m⁻²,26.105356719073185 g m⁻²,4.853886479836445 g m⁻²,0.0 g m⁻²,false,24.2 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,624.6 mm,0.0 mm,431.844780879731 mm,11.3026817691916 mm,7.0546815623504235 mm,225.79235584381556 mm,617.5453184376496 mm,0.0 mm d⁻¹,0.1,0.2,0.11711956175644775,24.95999999999998 °C,5.704119039249823 mm d⁻¹,1.1,6.274530943174806 mm d⁻¹,5.200358743430572 mm d⁻¹,1.0741721997442346 mm d⁻¹,0.6777774291217002,3.5246857796329287 mm d⁻¹,0.9707328959688649 mm d⁻¹,-4.495418675601794 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,195.1054999449112 mm,51.3945000550888 mm,624.6 mm,675.9945000550886 mm,2.2737367544323206e-13 mm,617.5453184376496 mm,0.9037032388289336,0.0 mm,1450.0 mm,250.0 mm,1.0
3576.0 hr,24.0 hr,149.0 d,1987-05-30,150 d,121 d,29.4 °C,18.3 °C,23.850000000000023 °C,12.45 MJ d⁻¹ m⁻²,0.8661239813526385,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.9990234375,2.1 g MJ⁻¹,0.8102754337171555 g d⁻¹,60.0 cm,0.6855049101204336,true,true,false,1.0,0.09990234375000001 d⁻¹,4.885396250000001,0.0 K,0.0 K,0.7669402358591267,0.01951077064324422 d⁻¹,0.0 d⁻¹,0.01951077064324422 d⁻¹,0.2878684619860287,1.0,4.051377168585778 g d⁻¹ m⁻²,34.81251404989866 g m⁻²,29.380636942413858 g m⁻²,5.4318771074848 g m⁻²,0.0 g m⁻²,false,24.9 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,624.6 mm,0.0 mm,435.3694666593639 mm,12.273414665160466 mm,7.0546815623504235 mm,225.79235584381556 mm,617.5453184376496 mm,0.0 mm d⁻¹,0.1,0.2,0.11825028998140913,24.95999999999998 °C,5.862475091349805 mm d⁻¹,1.1,6.4487226004847855 mm d⁻¹,5.271812025799645 mm d⁻¹,1.1769105746851403 mm d⁻¹,0.6495929860144789,3.4245321155462305 mm d⁻¹,1.0193504726423155 mm d⁻¹,-4.443882588188546 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,190.6100812693094 mm,55.889918730690596 mm,624.6 mm,680.4899187306904 mm,2.2737367544323206e-13 mm,617.5453184376496 mm,0.8661239813526385,0.0 mm,1450.0 mm,250.0 mm,1.0
3600.0 hr,24.0 hr,150.0 d,1987-05-31,151 d,121 d,30.6 °C,19.4 °C,25.0 °C,10.65 MJ d⁻¹ m⁻²,0.8289755375642284,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.9919,2.1 g MJ⁻¹,0.6987818724985437 g d⁻¹,60.0 cm,0.6855049101204336,true,true,false,1.0,0.09919 d⁻¹,4.985298593750001,0.0 K,0.0 K,0.8175780555284352,0.019077303753471248 d⁻¹,0.0 d⁻¹,0.019077303753471248 d⁻¹,0.3073792326292729,1.0,3.493909362492719 g d⁻¹ m⁻²,38.86389121848444 g m⁻²,32.82430753571177 g m⁻²,6.039583682772666 g m⁻²,0.0 g m⁻²,false,21.3 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,624.6 mm,0.0 mm,438.79399877491016 mm,13.292765137802782 mm,7.0546815623504235 mm,225.79235584381556 mm,617.5453184376496 mm,0.0 mm d⁻¹,0.1,0.2,0.11935920014202214,26.120000000000005 °C,5.1170060171919145 mm d⁻¹,1.1,5.628706618911107 mm d⁻¹,4.539034039148858 mm d⁻¹,1.0896725797622477 mm d⁻¹,0.6217316531731714,2.822061136969317 mm d⁻¹,0.9033119125774088 mm d⁻¹,-3.7253730495467257 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,186.16619868112085 mm,60.33380131887915 mm,624.6 mm,684.933801318879 mm,2.2737367544323206e-13 mm,617.5453184376496 mm,0.8289755375642284,0.0 mm,1450.0 mm,250.0 mm,1.0
3624.0 hr,24.0 hr,151.0 d,1987-06-01,152 d,121 d,33.3 °C,20.0 °C,26.649999999999977 °C,13.5 MJ d⁻¹ m⁻²,0.7978334431061576,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.9604984375000001,2.1 g MJ⁻¹,0.8712422173866904 g d⁻¹,60.0 cm,0.6855049101204336,true,true,false,1.0,0.09604984375000002 d⁻¹,5.0844885937500015,0.0 K,0.0 K,0.8711620229227496,0.017819538249472525 d⁻¹,0.0 d⁻¹,0.017819538249472525 d⁻¹,0.3264565363827442,1.0,4.356211086933452 g d⁻¹ m⁻²,42.357800580977155 g m⁻²,35.79413049383058 g m⁻²,6.5636700871465745 g m⁻²,0.0 g m⁻²,false,27.0 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,624.6 mm,0.0 mm,441.61605991187946 mm,14.19607705038019 mm,7.0546815623504235 mm,225.79235584381556 mm,617.5453184376496 mm,0.0 mm d⁻¹,0.1,0.2,0.12042892793576605,27.980000000000018 °C,6.698032663377106 mm d⁻¹,1.1,7.367835929714817 mm d⁻¹,5.862666037207899 mm d⁻¹,1.5051698925069177 mm d⁻¹,0.5983750823296181,3.5080732726853325 mm d⁻¹,1.2008748777985192 mm d⁻¹,-4.7089481504838515 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,182.4408256315741 mm,64.05917436842589 mm,624.6 mm,688.6591743684256 mm,3.410605131648481e-13 mm,617.5453184376496 mm,0.7978334431061576,0.0 mm,1450.0 mm,250.0 mm,1.0
3648.0 hr,24.0 hr,152.0 d,1987-06-02,153 d,121 d,35.0 °C,21.1 °C,28.05000000000001 °C,12.45 MJ d⁻¹ m⁻²,0.7584691952442235,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.9236859375,2.1 g MJ⁻¹,0.7701199186342943 g d⁻¹,60.0 cm,0.6855049101204336,true,true,false,1.0,0.09236859375 d⁻¹,5.180538437500002,0.0 K,0.0 K,0.9263942305501464,0.016182314112850985 d⁻¹,0.0 d⁻¹,0.016182314112850985 d⁻¹,0.3442760746322167,1.0,3.8505995931714714 g d⁻¹ m⁻²,46.714011667910604 g m⁻²,39.49690991772401 g m⁻²,7.217101750186592 g m⁻²,0.0 g m⁻²,false,24.9 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,624.6 mm,0.0 mm,445.1241331845648 mm,15.396951928178709 mm,7.0546815623504235 mm,225.79235584381556 mm,617.5453184376496 mm,0.0 mm d⁻¹,0.1,0.2,0.12141530709250763,29.439999999999998 °C,6.329077490905202 mm d⁻¹,1.1,6.961985239995722 mm d⁻¹,5.471054721115585 mm d⁻¹,1.4909305188801374 mm d⁻¹,0.5688518964331677,3.1122198535962355 mm d⁻¹,1.1308248708200703 mm d⁻¹,-4.243044724416306 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,177.73187748109027 mm,68.76812251890973 mm,624.6 mm,693.3681225189096 mm,2.2737367544323206e-13 mm,617.5453184376496 mm,0.7584691952442235,0.0 mm,1450.0 mm,250.0 mm,1.0
