"Seattle, Seattle, King, WA"
"2023-01-01 through 2023-12-31"
Date,1.5 m Min Air Temp,1.5 m Avg Air Temp,1.5 m Max Air Temp,9 m Min Air Temp,9 m Avg Air Temp,9 m Max Air Temp,1.5 m Avg Dew Point,1.5 m Avg Rel. Hum,Solar Radiation,Precipiation,2 m Avg Wind Speed,2 m Max Wind Gust,10 m Avg Wind Speed,10 m Max Wind Gust,10 m Avg Wind Dir,2 in Avg Soil Temperature,2 in Avg Soil Water Pot,8 in Avg Soil Temperature,8 in Avg Soil Water Pot,ETo,ETr,
2023-03-29,37.7,49.8,61.1,39.5,50.3,59.4,30.0,49.6,16.09,0.00,2.4,11.7,2.6,7.6,N,50.2,    0,50.2,    0,0.09,0.12,
2023-03-30,39.5,47.5,54.7,41.2,47.1,53.0,35.3,63.6,13.77,0.00,3.3,15.9,4.1,7.5,S,50.7,    0,50.5,    0,0.08,0.10,
2023-03-31,43.8,45.9,49.6,43.2,45.2,48.4,39.6,78.7,6.72,0.21,4.3,15.9,6.2,9.6,S,50.2,    0,50.5,    0,0.05,0.07,
2023-04-01,40.9,44.5,51.1,40.3,43.7,49.3,35.9,72.5,14.35,0.00,4.1,14.7,5.3,8.8,S,50.4,    0,50.1,    0,0.08,0.10,
2023-04-02,38.0,41.6,48.8,37.4,40.6,46.8,35.8,80.8,10.89,0.09,3.9,12.3,5.3,8.6,S,49.8,    0,49.9,    0,0.06,0.08,
2023-04-03,37.3,41.5,49.2,36.7,40.9,47.5,35.8,81.4,12.99,0.19,1.8,9.4,2.1,5.1,SW,50.0,    0,49.8,    0,0.06,0.07,
2023-04-04,37.5,43.9,52.3,37.2,42.9,50.4,33.9,70.1,23.11,0.01,2.3,8.8,2.9,5.8,SE,52.2,    0,51.2,    0,0.10,0.11,
2023-04-05,36.6,45.9,54.6,37.9,45.6,53.1,34.5,66.6,15.29,0.00,2.0,9.4,2.7,5.6,S,51.5,    0,51.5,    0,0.08,0.09,
2023-04-06,43.9,48.8,53.4,43.7,48.3,52.3,45.3,87.9,6.90,0.44,0.6,5.8,1.3,3.3,SE,52.7,    0,52.3,    0,0.04,0.04,
2023-04-07,47.8,51.9,58.8,47.6,51.1,57.1,44.5,77.4,16.31,0.10,2.9,13.5,4.0,6.9,S,54.6,    0,53.7,    0,0.09,0.11,
2023-04-08,47.5,49.7,52.3,47.1,49.0,51.3,42.7,76.9,8.07,0.04,2.7,14.1,4.4,7.5,SE,53.7,    0,53.6,    0,0.06,0.07,
2023-04-09,48.9,52.5,58.2,47.7,50.3,55.3,50.3,92.3,5.47,0.38,2.2,11.7,3.8,8.5,S,53.7,    0,53.5,    0,0.04,0.05,
2023-04-10,44.4,47.4,49.5,42.9,45.8,47.6,44.7,90.6,5.65,0.46,0.6,7.6,1.3,4.3,S,53.3,    0,53.4,    0,0.03,0.03,
2023-04-11,38.6,46.2,54.4,40.0,45.0,52.8,38.1,75.5,17.72,0.04,3.6,17.7,5.0,9.2,S,53.6,    0,53.0,    0,0.09,0.10,
2023-04-12,36.2,44.9,53.7,36.9,44.6,52.1,33.4,67.1,20.07,0.00,3.0,15.9,3.6,8.8,N,52.7,    0,52.8,    0,0.09,0.11,
2023-04-13,38.6,45.5,52.6,40.7,45.3,51.1,36.6,71.8,11.00,0.00,2.5,11.1,3.4,7.2,S,52.0,    0,52.4,    0,0.07,0.08,
2023-04-14,36.6,47.4,57.4,37.8,47.3,56.2,36.6,69.6,24.14,0.00,1.5,9.9,1.7,4.8,S,54.1,    0,53.2,    0,0.11,0.12,
2023-04-15,44.4,49.0,54.1,45.5,48.7,52.7,41.8,76.2,9.21,0.00,2.3,8.8,3.5,7.1,S,53.7,    0,54.0,    0,0.06,0.07,
2023-04-16,41.6,47.3,53.3,41.2,46.9,51.6,42.5,83.5,11.52,0.24,2.7,14.1,3.6,8.2,S,53.7,    0,53.6,    0,0.06,0.07,
2023-04-17,36.7,44.6,53.2,37.8,44.3,51.1,36.3,74.6,12.21,0.15,2.8,12.9,3.9,10.9,S,52.2,    0,52.7,    0,0.07,0.09,
2023-04-18,38.5,44.3,49.9,39.3,43.7,47.9,36.9,75.8,18.39,0.04,4.4,15.9,6.5,10.7,S,52.5,    0,52.3,    0,0.08,0.10,
2023-04-19,38.0,45.7,52.9,38.5,45.0,50.9,36.4,71.7,21.45,0.03,3.0,15.3,3.9,6.7,S,53.7,    0,53.2,    0,0.10,0.11,
2023-04-20,36.6,43.6,49.2,37.5,43.3,48.2,38.7,83.6,6.65,0.23,2.3,12.3,3.9,11.1,SE,51.7,    0,52.6,    0,0.04,0.05,
2023-04-21,44.8,49.1,54.1,44.6,48.5,52.9,41.8,76.3,9.76,0.00,2.3,13.5,3.1,5.1,S,52.8,    0,52.4,    0,0.06,0.08,
2023-04-22,45.6,53.1,62.6,46.2,52.5,61.4,46.7,79.9,13.42,0.14,0.9,6.4,1.6,4.9,SE,55.4,    0,54.3,    0,0.08,0.09,
2023-04-23,47.6,52.1,55.2,47.0,51.2,53.6,46.0,80.6,10.17,0.12,2.9,13.5,4.0,7.7,S,56.4,    0,56.1,    0,0.07,0.08,
2023-04-24,46.3,51.4,59.7,45.8,50.3,57.6,42.7,73.5,19.73,0.04,2.2,11.1,2.7,5.6,S,57.3,    0,56.2,    0,0.11,0.12,
2023-04-25,46.0,52.0,60.2,47.1,51.6,58.7,41.5,69.0,19.83,0.00,2.0,9.4,2.4,5.8,NW,58.3,    0,57.6,    0,0.11,0.13,
2023-04-26,43.3,54.6,67.8,44.5,54.2,66.4,42.9,67.6,22.60,0.00,2.4,12.9,2.8,7.0,NW,58.7,    0,58.1,    0,0.13,0.16,
2023-04-27,50.6,57.5,67.9,50.0,56.8,66.6,46.2,67.6,25.87,0.00,3.6,13.5,4.4,8.5,N,60.2,    0,59.7,    0,0.16,0.19,
2023-04-28,45.7,62.6,81.3,47.0,62.9,79.7,47.2,62.3,26.63,0.00,2.3,11.7,3.0,7.2,NW,60.6, -2.2,60.3,    0,0.18,0.21,
2023-04-29,52.1,64.2,78.8,54.1,64.4,77.0,49.2,61.8,27.02,0.00,1.8,10.5,3.1,8.1,S,62.8, -8.9,62.1,    0,0.17,0.20,
2023-04-30,50.5,56.1,62.6,50.0,55.6,61.2,46.4,70.5,8.96,0.00,2.2,9.9,3.0,6.3,S,60.5,-12.7,61.3,    0,0.08,0.09,
2023-05-01,49.7,53.8,57.4,50.5,53.3,56.3,46.2,75.8,6.49,0.02,1.6,9.9,1.9,5.1,N,58.8,-13.3,59.5, -0.1,0.05,0.06,
2023-05-02,51.3,59.8,71.1,51.5,59.0,69.9,49.7,70.1,21.94,0.00,2.3,11.7,2.7,6.3,NE,61.1,-15.7,60.2, -0.4,0.14,0.16,
2023-05-03,53.3,62.1,73.1,53.0,61.2,71.1,51.0,68.3,26.54,0.00,2.5,10.5,3.2,8.2,W,63.0,-26.0,62.5, -4.1,0.17,0.19,
2023-05-04,51.2,54.5,58.2,50.2,53.4,56.9,48.8,81.4,8.17,0.02,2.7,12.3,3.8,8.5,S,61.4,-33.9,62.2, -7.9,0.06,0.07,
2023-05-05,50.0,51.3,53.6,49.0,50.0,51.6,49.3,92.9,4.46,0.53,2.3,9.9,4.0,7.5,SE,58.7, -4.2,59.5, -3.6,0.03,0.03,
2023-05-06,49.4,53.9,62.2,48.3,52.5,59.7,49.5,86.0,11.15,0.08,0.9,9.4,1.6,3.8,SE,59.0, -0.1,59.0,    0,0.07,0.08,
2023-05-07,47.1,55.2,63.6,47.3,54.2,61.5,45.1,71.1,21.26,0.00,1.9,8.8,2.4,5.4,S,60.1, -0.1,60.0,    0,0.12,0.14,
2023-05-08,50.3,56.9,65.1,50.4,56.0,63.5,44.4,64.9,23.05,0.00,2.8,12.3,3.2,8.6,NW,61.2, -0.1,61.4,    0,0.14,0.17,
2023-05-09,48.5,56.0,65.2,49.3,55.4,63.6,44.6,67.4,24.07,0.00,2.3,10.5,2.6,6.4,W,61.6, -3.9,61.9,    0,0.14,0.16,
2023-05-10,43.7,57.7,71.2,44.2,57.5,69.8,44.5,65.1,28.25,0.00,2.0,11.7,2.5,8.1,NW,61.3,-14.5,62.0,  0.0,0.16,0.18,
2023-05-11,47.0,60.3,75.6,48.1,60.2,74.1,45.0,60.5,28.01,0.00,2.3,12.3,2.8,7.3,NW,61.9,-28.5,62.7, -2.8,0.18,0.21,
2023-05-12,48.0,65.0,82.1,48.9,65.1,80.6,47.7,58.4,28.05,0.00,2.1,13.5,3.0,8.1,NW,62.8,-55.0,63.4, -9.4,0.19,0.22,
2023-05-13,52.4,70.0,87.0,54.0,70.5,85.6,50.5,55.5,28.16,0.00,3.0,17.7,3.8,11.3,NW,64.0,-103.0,64.5,-18.1,0.22,0.27,
2023-05-14,54.9,72.7,89.2,56.9,73.7,88.3,51.5,52.8,28.04,0.00,2.5,15.3,2.9,8.2,N,65.1,-216.5,65.6,-38.6,0.22,0.26,
2023-05-15,58.8,73.6,91.3,61.8,74.2,89.6,54.8,56.4,22.57,0.00,2.1,10.5,2.7,6.5,W,66.3,-418.5,66.6,-83.5,0.19,0.23,
2023-05-16,57.2,66.4,77.6,57.9,66.1,76.3,55.2,68.6,26.01,0.00,1.7,8.8,2.1,5.0,SW,67.5,-667.9,67.5,-189.9,0.17,0.19,
2023-05-17,54.9,66.7,79.1,56.3,66.8,78.1,55.7,70.1,24.03,0.00,1.9,9.9,2.5,7.3,NW,67.0,-929.2,67.5,-392.2,0.17,0.19,
2023-05-18,56.2,66.1,78.4,57.9,66.3,76.8,56.9,73.9,25.67,0.00,1.5,11.1,1.7,6.1,SW,67.1,-1212.3,67.5,-654.3,0.17,0.19,
2023-05-19,53.4,64.4,76.6,54.6,64.0,74.8,52.7,68.2,26.13,0.00,2.5,12.3,3.0,8.3,NW,67.3,-1471.3,67.8,-924.5,0.18,0.20,
2023-05-20,55.4,66.2,77.0,57.0,65.8,74.7,50.1,58.1,26.37,0.00,2.8,12.3,3.2,7.6,NW,68.0,NA,68.4,-1227.1,0.19,0.22,
2023-05-21,51.2,56.3,59.5,51.1,55.9,59.2,50.1,79.9,6.43,0.07,2.2,10.5,2.4,6.1,S,65.0,NA,67.0,-1544.8,0.05,0.06,
