obs_yield,precip,rad,maxt,mint,sat,hyd,clay,bulk,water,lat,long,elev
20.36,363.9,19.55,25.62,12.57,0.43,150,0.07,1.29,1,42.92,-71.72,200.78
18.54,334.92,19.8,25.84,12.11,0.48,193,0.06,1.05,1,42.99,-71.13,79.99
18.54,334.92,19.8,25.84,12.11,0.45,131,0.13,1.31,1,42.99,-71.13,79.99
18.54,334.92,19.8,25.84,12.11,0.4,119,0.06,1.33,1,42.99,-71.13,79.99
,352.74,19.04,25.57,11.98,0.37,55,0.07,1.41,1,43.36,-72.22,360.98
,352.74,19.04,25.57,11.98,0.38,63,0.07,1.36,1,43.36,-72.22,360.98
,321.7,19.62,24.8,9.85,0.45,171,0.07,1.2,1,43.36,-72.22,360.98
,329.75,19.57,25.5,11.38,0.36,67.96,0.06,1.49,1,43.52,-71.42,229.49
,329.75,19.57,25.5,11.38,0.36,69.35,0.06,1.46,1,43.52,-71.42,229.49
,393.73,19.29,24.38,9.23,0.41,129.58,0.06,1.38,1,43.52,-71.42,229.49
23.89,456.39,19.56,20.88,8,0.37,67.92,0.06,1.38,1,44.69,-71.31,568.09
23.89,456.39,19.56,20.88,8,0.38,66.47,0.06,1.22,1,44.69,-71.31,568.09
23.89,372.26,19.55,24.31,9.29,0.44,145.59,0.08,1.24,1,44.69,-71.31,568.09
17.99,418.77,19.84,25.02,11.55,0.43,118,0.07,1.29,1,43.87,-71.2,311.61
17.99,418.77,19.84,25.02,11.55,0.43,150,0.07,1.29,1,43.87,-71.2,311.61
17.99,418.77,19.84,25.02,11.55,0.41,94,0.06,1.34,1,43.87,-71.2,311.61
,403.16,19.41,23.16,10.66,0.37,55,0.07,1.41,1,43.94,-71.82,455.5
,393.73,19.29,24.38,9.23,0.38,113,0.03,1.46,1,43.94,-71.82,455.5
,393.73,19.29,24.38,9.23,0.41,100,0.05,1.34,1,43.94,-71.82,455.5
11.09,329.75,19.57,25.5,11.38,0.4,118.81,0.04,1.37,1,43.3,-71.68,222.18
11.09,329.75,19.57,25.5,11.38,0.41,129.58,0.06,1.38,1,43.3,-71.68,222.18
11.09,329.75,19.57,25.5,11.38,0.33,197,0.02,1.73,1,43.3,-71.68,222.18
,337.04,19.86,23.4,13.78,0.39,266.8,0.03,1.45,1,41.4,-70.66,12.7
,337.04,19.86,23.4,13.78,0.44,410.38,0.05,1.32,1,41.4,-70.66,12.7
,337.04,19.86,23.4,13.78,0.39,312.98,0.04,1.47,1,41.4,-70.66,12.7
,313.4,19.76,23.58,15.32,0.38,231.81,0.04,1.51,1,41.28,-70.07,0
,313.4,19.76,23.58,15.32,0.37,83.89,0.06,1.56,1,41.28,-70.07,0
,313.4,19.76,23.58,15.32,0.46,597,0.03,1.29,1,41.28,-70.07,0
,352.44,19.68,24.19,13.74,0.45,570,0.03,1.29,1,41.73,-70.3,17.26
,313.4,19.76,23.58,15.32,0.39,449.76,0.02,1.47,1,41.73,-70.3,17.26
,313.4,19.76,23.58,15.32,0.45,570,0.03,1.29,1,41.73,-70.3,17.26
13.1,352.44,19.68,24.19,13.74,0.46,849,0.02,1.26,1,41.95,-70.81,24.61
13.1,352.44,19.68,24.19,13.74,0.36,676.96,0.01,1.56,1,41.95,-70.81,24.61
13.1,352.44,19.68,24.19,13.74,0.38,469.04,0.01,0.89,1,41.95,-70.81,24.61
12.32,350.17,18.84,24.45,11.15,0.36,56.41,0.06,1.41,1,42.37,-73.21,430.25
12.32,350.17,18.84,24.45,11.15,0.36,54.53,0.06,1.36,1,42.37,-73.21,430.25
